Frame	Time	Scene info	Scene info:narrative details - external	Scene info:narrative details - internal	Scene info:characters on screen	Scene info:Music Presence	speech	speech:transcription	speech:character speaking	setting	setting:indoor/outdoor	setting:setting	Scene name	Scene name:scene name	
0	0.0	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
1	0.04	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
2	0.08	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
3	0.12000000000000001	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
4	0.16	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
5	0.2	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
6	0.24000000000000002	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
7	0.28	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
8	0.32	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
9	0.36000000000000004	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
10	0.4	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
11	0.44	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
12	0.48000000000000004	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
