SO,1.0,1.3
WE,1.3,1.4
BEGIN,1.4,1.9
BY,1.9,2.2
SEEING,2.2,3.0
THE,3.0,3.8
ENTIRE,3.8,4.3
FAMILY,4.3,4.8
ON,4.8,5.1
A,5.1,5.3
YACHT,5.3,5.7
OR,5.7,6.6
WHERE,6.6,7.2
THE,7.2,7.7
FATHER,7.7,8.8
CEO,8.8,10.4
IS,10.4,11.3
SUPPOSED,11.3,12.0
TO,12.0,12.1
BE,12.1,13.0
YOGA,13.0,14.1
COMPANY,14.1,14.5
FROZEN,15.8,17.9
BANANA,17.9,18.4
JUST,18.4,19.2
KIDDING,19.2,19.5
REAL,19.5,19.8
ESTATE,19.8,20.3
SON,22.9,31.1
HE'S,31.1,31.9
GOING,31.9,32.0
TO,32.0,32.2
BE,32.2,32.4
LYRICS,32.4,36.6
TO,36.6,36.9
ALL,36.9,37.8
OF,37.8,37.9
HIS,37.9,43.2
SISTER,43.2,47.3
LINDSEY,47.3,48.7
HIS,48.7,50.4
YOUNGER,50.4,51.2
BROTHER,51.2,51.5
WHO'S,51.5,52.2
LIKE,52.2,52.6
REALLY,52.6,52.8
INTO,52.8,53.2
LIKE,53.2,54.1
ENGINE,54.1,56.2
STUDIES,56.2,56.8
HOUSING,57.7,59.9
MOST,0.0,0.2
DEGREES,0.2,0.5
AND,1.8,2.4
ELDEST,2.4,3.0
BROTHER,3.0,3.3
WHO,3.3,3.5
IS,3.5,3.9
A,3.9,4.2
MAGICIAN,4.2,4.5
AND,8.5,10.1
THEY'RE,11.5,12.4
JUST,12.4,12.9
KIND,12.9,13.2
OF,13.2,13.2
PORTRAYED,13.2,13.6
AS,13.6,13.7
A,13.7,13.8
REALLY,13.8,14.1
DYSFUNCTIONAL,14.1,14.5
BUT,14.5,17.1
MICHAEL,17.1,17.6
IS,17.6,18.0
HAPPY,18.0,18.4
BECAUSE,18.4,19.4
HE,19.4,20.0
THINKS,20.0,20.4
THAT,20.4,20.5
HE'S,20.5,20.8
GOING,20.8,20.9
TO,20.9,21.0
SEE,21.0,22.4
YOUR,22.4,23.9
POSITION,23.9,24.4
DONE,25.6,28.2
WE,29.3,29.8
LEARNED,29.8,31.6
THAT,31.6,31.7
SHE,31.7,32.7
IS,32.7,32.8
NOT,32.8,33.2
CONNEXIO,33.2,35.2
IN,35.2,36.2
FACT,36.2,36.7
IT'S,36.7,37.0
HIS,38.5,39.2
MOTHER,39.2,39.6
TRUE,39.6,40.6
IT,40.6,41.0
IS,41.0,41.8
VERY,41.8,43.9
EXPERIENCE,47.1,48.2
A,48.2,48.3
LUXURIOUS,48.3,49.0
THING,49.0,49.3
THAT,49.3,49.5
YOU,49.5,49.7
LOVE,49.7,50.1
SPENDING,50.1,50.5
THE,50.5,51.1
COMPANY'S,51.1,51.7
MONEY,51.7,51.8
ON,51.8,52.4
HER,52.4,52.8
OUR,0.0,0.4
VERY,3.2,5.0
WASTEFUL,5.0,5.6
AND,5.6,6.0
A,6.0,6.7
GRATEFUL,6.7,7.5
UP,7.5,8.0
THERE,8.0,8.3
AND,8.3,9.8
SO,9.8,11.5
THEY,11.5,12.1
BASICALLY,12.1,12.2
YOU,12.2,12.9
KNOW,12.9,13.1
IAN,13.1,14.1
FROM,14.1,14.4
THEM,14.4,14.5
ON,14.5,14.8
WHATEVER,14.8,15.7
THEIR,15.7,16.0
PERSONAL,16.0,16.5
NEEDS,16.5,16.9
DEMAND,17.8,18.6
BUT,20.7,21.0
THEN,21.0,21.3
HIS,21.3,23.1
MOM,23.1,24.3
GETS,24.3,24.6
TO,24.6,25.4
SEE,25.4,25.6
YOU,25.6,25.7
INSTEAD,25.7,26.0
AND,26.0,27.4
MICHAEL'S,27.4,27.8
LIGHT,27.8,28.0
UP,28.0,28.2
LATER,28.2,34.0
BUT,34.0,34.8
LINDSAY'S,34.8,36.3
HUSBAND,36.3,37.3
IS,37.3,39.4
UNEMPLOYED,39.4,41.1
ACCIDENTALLY,41.1,43.4
TO,43.4,44.2
LIKE,44.2,45.3
PROTEST,48.7,49.8
THING,50.7,51.3
WHICH,51.3,52.6
WAS,52.6,52.8
PIRATE-THEMED,52.8,53.8
BECAUSE,55.0,56.1
HE,56.1,56.4
THOUGHT,56.4,56.7
THAT,56.7,56.9
THE,56.9,57.3
YACHT,57.3,57.6
PARTY,57.6,58.0
ROXANA,0.0,1.5
REMIX,1.5,1.9
THERE,1.9,2.2
LINDSAY,3.7,5.6
THE,5.6,7.1
RICHEST,7.1,7.5
SHOWN,7.5,8.0
I'M,8.0,8.4
SORRY,8.4,8.5
IT'S,8.5,8.8
LIKE,8.8,9.0
VERY,9.0,9.1
OUT,9.1,9.4
OF,9.4,9.4
ORDER,9.4,9.7
BUT,9.7,10.6
LINDSAY,10.6,11.0
IS,11.0,11.3
SHOWN,11.3,11.7
TO,11.7,11.9
BE,11.9,11.9
LIKE,11.9,12.9
AN,12.9,13.0
ACTIVIST,13.0,13.6
BUT,13.6,13.9
SHE,13.9,14.0
RAISES,14.0,14.4
MONEY,14.4,14.7
FOR,14.7,14.9
BULSHIT,14.9,15.8
THINGS,15.8,16.4
LIKE,16.4,16.7
ANTI-CIRCUMCISION,16.7,22.3
THEN,23.2,23.7
THE,23.7,23.8
